TIME,GEO,UNIT,DURATION,PARTNER,Value
2008,SI,PC_POP,N_GE1,WORLD,:
2008,SI,PC_POP,N1-3,DOM,:
2008,SI,PC_POP,N1-3,DOT,:
2008,SI,PC_POP,N1-3,OUT,:
2008,SI,PC_POP,N1-3,WORLD,:
2008,SI,PC_POP,N_GE4,DOM,11.7
2008,SI,PC_POP,N_GE4,DOT,10.6
2008,SI,PC_POP,N_GE4,OUT,37.7
2008,SI,PC_POP,N_GE4,WORLD,59.9
2008,SK,PC_POP,N_GE1,DOM,:
2008,SK,PC_POP,N_GE1,DOT,:
2008,SK,PC_POP,N_GE1,OUT,:
2008,SK,PC_POP,N_GE1,WORLD,:
2008,SK,PC_POP,N1-3,DOM,:
2008,SK,PC_POP,N1-3,DOT,:
2008,SK,PC_POP,N1-3,OUT,:
2008,SK,PC_POP,N1-3,WORLD,:
2008,SK,PC_POP,N_GE4,DOM,18.7
2008,SK,PC_POP,N_GE4,DOT,2.3
2008,SK,PC_POP,N_GE4,OUT,31
2008,SK,PC_POP,N_GE4,WORLD,52
2008,FI,PC_POP,N_GE1,DOM,:
2008,FI,PC_POP,N_GE1,DOT,:
2008,FI,PC_POP,N_GE1,OUT,:
2008,FI,PC_POP,N_GE1,WORLD,:
2008,FI,PC_POP,N1-3,DOM,:
2008,FI,PC_POP,N1-3,DOT,:
2008,FI,PC_POP,N1-3,OUT,:
2008,FI,PC_POP,N1-3,WORLD,:
2008,FI,PC_POP,N_GE4,DOM,25.8
2008,FI,PC_POP,N_GE4,DOT,18
2008,FI,PC_POP,N_GE4,OUT,14.3
2008,FI,PC_POP,N_GE4,WORLD,58.1
2008,SE,PC_POP,N_GE1,DOM,:
2008,SE,PC_POP,N_GE1,DOT,:
2008,SE,PC_POP,N_GE1,OUT,:
2008,SE,PC_POP,N_GE1,WORLD,:
2008,SE,PC_POP,N1-3,DOM,:
2008,SE,PC_POP,N1-3,DOT,:
2008,SE,PC_POP,N1-3,OUT,:
2008,SE,PC_POP,N1-3,WORLD,:
2008,SE,PC_POP,N_GE4,DOM,36.9
2008,SE,PC_POP,N_GE4,DOT,3.5
2008,SE,PC_POP,N_GE4,OUT,37.4
2008,SE,PC_POP,N_GE4,WORLD,77.7
2008,UK,PC_POP,N_GE1,DOM,:
2008,UK,PC_POP,N_GE1,DOT,:
2008,UK,PC_POP,N_GE1,OUT,:
2008,UK,PC_POP,N_GE1,WORLD,:
