EA19-2004,2.4,0
EA19-2005,0,0
EA19-2006,0,0
EA19-2007,16.799999,0
EA19-2008,13,0
EA19-2009,0,0
EA19-2010,13.1,0
EA19-2011,12.3,0
EA19-2012,4.3,0
EA19-2013,29.9,0
EA19-2014,11.7,0
EA19-2015,12.4,0
EA19-2016,34.099998,0
EA19-2017,12.3,0
EA19-2018,0,0
EE-1994,0,0
EE-1995,0,0
EE-1996,0,0
EE-1997,0,0
EE-1998,0,0
EE-1999,0,0
EE-2000,0,0
EE-2001,0,0
EE-2002,0,26.200001
EE-2003,0,12.3
EE-2004,0,0
EE-2005,0,0
EE-2006,0,0
EE-2007,0,7.2
EE-2008,0,0
EE-2009,14.9,0
EE-2010,0,0
EE-2011,0,0
EE-2012,16.799999,20.379999
EE-2013,0,38.830002
EE-2014,11.3,12.91
EE-2015,0,12.17
EE-2016,0,0
EE-2017,0,0
EE-2018,0,31.85
EL-1994,50.700001,0
EL-1995,0,2.6
EL-1996,58,4.3
EL-1997,36.099998,65
EL-1998,0,0
EL-1999,0,42.799999
EL-2000,52.200001,48
EL-2001,0,44.400002
EL-2002,44.400002,42.299999
EL-2003,26.4,0
EL-2004,0,0
EL-2005,40.200001,47
EL-2006,46.900002,0
EL-2007,23.1,0
EL-2008,35.799999,42.700001
EL-2009,24,4.2
EL-2010,0,0
EL-2011,7.1,29.4
EL-2012,31.799999,2.74
EL-2013,0,27.860001
EL-2014,66.199997,33.23
EL-2015,63.900002,31.23
EL-2016,20.5,30.07
EL-2017,50.099998,33.200001
EL-2018,57.900002,3.96
ES-1994,0,0
ES-1995,0,0
ES-1996,22.700001,0
ES-1997,22.4,0
ES-1998,16.200001,0
ES-1999,0,64.099998
ES-2000,7.5,0
ES-2001,0,0
ES-2002,0,0
ES-2003,0,0
ES-2004,0,2.7
ES-2005,26.1,39.799999
ES-2006,28.200001,0
ES-2007,27.1,5.8
ES-2008,36.799999,0
ES-2009,15.8,0
ES-2010,36.099998,0
ES-2011,58,4.6
ES-2012,0,28.59
ES-2013,58.599998,43
ES-2014,0,41.82
ES-2015,21.299999,7.4
ES-2016,62.799999,0
ES-2017,13.1,49.84
ES-2018,0,43.09
EU15-1994,0,0
EU15-1995,0,0
EU15-1996,25.299999,0
EU15-1997,9.7,0
EU15-1998,22.1,0
EU15-1999,20.9,0
EU15-2000,2.5,0
EU15-2001,9.1,0
EU15-2002,17.1,0
EU15-2003,0,0
EU15-2004,0,0
EU15-2005,0,0
EU15-2006,11.8,0
EU15-2007,11.3,0
EU15-2008,0,0
EU15-2009,4.1,0
